stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000161863	9606.ENSP00000227524	YTHDC2	PRPF19	9606	0.472	0	0	0	0.054	0.394	0	0.153
9606.ENSP00000161863	9606.ENSP00000370719	YTHDC2	ITSN1	9606	0.485	0	0	0	0	0.486	0	0
9606.ENSP00000161863	9606.ENSP00000335321	YTHDC2	SF3B1	9606	0.496	0	0	0	0.127	0.288	0	0.254
9606.ENSP00000161863	9606.ENSP00000352738	YTHDC2	G3BP2	9606	0.507	0	0	0	0.087	0.125	0	0.433
9606.ENSP00000161863	9606.ENSP00000238714	YTHDC2	PAPOLG	9606	0.547	0	0	0	0.16	0.406	0	0.166
9606.ENSP00000161863	9606.ENSP00000359506	YTHDC2	FMR1	9606	0.661	0	0	0	0.053	0	0	0.656
9606.ENSP00000161863	9606.ENSP00000373474	YTHDC2	METTL14	9606	0.931	0	0	0	0.174	0.071	0	0.917
9606.ENSP00000167106	9606.ENSP00000396198	VASH1	FGF13	9606	0.528	0	0	0	0	0	0	0.528
9606.ENSP00000168148	9606.ENSP00000498441	SPP2	FGA	9606	0.682	0	0	0	0.581	0	0	0.273
9606.ENSP00000168148	9606.ENSP00000353401	SPP2	CUX1	9606	0.772	0	0	0	0	0	0	0.772
9606.ENSP00000174618	9606.ENSP00000494750	MNT	ACTB	9606	0.404	0	0	0	0.044	0	0	0.402
9606.ENSP00000174618	9606.ENSP00000264335	MNT	YWHAE	9606	0.461	0	0	0	0.055	0	0	0.454
9606.ENSP00000174618	9606.ENSP00000494538	MNT	CTCF	9606	0.528	0	0	0	0.043	0.045	0	0.525
9606.ENSP00000174618	9606.ENSP00000378402	MNT	SIN3A	9606	0.817	0	0	0	0.059	0.354	0	0.723
9606.ENSP00000181839	9606.ENSP00000380888	CDK13	MED13	9606	0.418	0	0	0	0.232	0	0	0.274
9606.ENSP00000181839	9606.ENSP00000258962	CDK13	SRSF1	9606	0.431	0	0	0	0.074	0.2	0	0.293
9606.ENSP00000181839	9606.ENSP00000384823	CDK13	FBXO11	9606	0.451	0	0	0	0.303	0.224	0	0.066
9606.ENSP00000181839	9606.ENSP00000385852	CDK13	SETD5	9606	0.467	0	0	0	0.18	0.067	0.36	0
